id,name,mfr,type,fiber,rating,shelf,vitamins,coupons,price
41,Life,Quaker Oats,C,2,45.33,middle,25,4,2.88
42,Lucky Charms,General Mills,C,0,26.73,middle,25,2,5.92
43,Maypo,American Home,H,0,54.85,middle,25,3,5.23
44,"Muesli Raisins, Dates, & Almonds",Ralston Purina,C,3,37.14,top,25,2,6.09
45,"Muesli Raisins, Peaches, & Pecans",Ralston Purina,C,3,34.14,top,25,3,4.13
46,Mueslix Crispy Blend,Kelloggs,C,3,30.31,top,25,3,3.22
47,Multi-Grain Cheerios,General Mills,C,2,40.11,bottom,25,3,5.49
48,Nut&Honey Crunch,Kelloggs,C,0,29.92,middle,25,4,3.84
49,Nutri-Grain Almond-Raisin,Kelloggs,C,3,40.69,top,25,3,3.99
50,Nutri-grain Wheat,Kelloggs,C,3,59.64,top,25,3,5.6
51,Oatmeal Raisin Crisp,General Mills,C,1.5,30.45,top,25,4,6.06
52,Post Nat. Raisin Bran,Post,C,6,37.84,top,25,2,4.07
53,Product 19,Kelloggs,C,1,41.5,top,100,1,3.92
54,Puffed Rice,Quaker Oats,C,0,60.76,top,0,4,4.56
55,Puffed Wheat,Quaker Oats,C,1,63.01,top,0,2,5.83
56,Quaker Oat Squares,Quaker Oats,C,2,49.51,top,25,2,5.44
57,Quaker Oatmeal,Quaker Oats,H,2.7,50.83,bottom,0,1,6.2
58,Raisin Bran,Kelloggs,C,5,39.26,middle,25,4,2.55
59,Raisin Nut Bran,General Mills,C,2.5,39.7,top,25,1,3.66
60,Raisin Squares,Kelloggs,C,2,55.33,top,25,4,3.1
61,Rice Chex,Ralston Purina,C,0,42,bottom,25,1,2.98
62,Rice Krispies,Kelloggs,C,0,40.56,bottom,25,3,2.86
63,Shredded Wheat,Nestle,C,3,68.24,bottom,0,3,4.94
64,Shredded Wheat 'n'Bran,Nestle,C,4,74.47,bottom,0,1,6.04
65,Shredded Wheat spoon size,Nestle,C,3,72.8,bottom,0,4,2.59
66,Smacks,Kelloggs,C,1,31.23,middle,25,1,6.2
67,Special K,Kelloggs,C,1,53.13,bottom,25,4,5.54
68,Strawberry Fruit Wheats,Nestle,C,3,59.36,middle,25,2,2.17
69,Total Corn Flakes,General Mills,C,0,38.84,top,100,2,3.38
70,Total Raisin Bran,General Mills,C,4,28.59,top,100,1,5.29
71,Total Whole Grain,General Mills,C,3,46.66,top,100,3,6.23
72,Triples,General Mills,C,0,39.11,top,25,3,6.1
73,Trix,General Mills,C,0,27.75,middle,25,1,3.17
74,Wheat Chex,Ralston Purina,C,3,49.79,bottom,25,4,5.24
75,Wheaties,General Mills,C,3,51.59,bottom,25,2,3.6
76,Wheaties Honey Gold,General Mills,C,1,36.19,bottom,25,2,2.97
