Clothing ID,Age,Title,Rating,Division Name
895,46,That special lauer,very satisfied,General Petite
862,38,Comfy and cute,satisfied,General
862,37,Looks better when tried on; very cute,very satisfied,General
844,46,"Romantic print, elegant & beautiful - i love it!",very satisfied,General Petite
836,29,,unsatisfied,General
895,39,Positively agree,very satisfied,General Petite
836,25,,very satisfied,General
895,64,Love the print & style,very satisfied,General Petite
895,57,So cool,very satisfied,General Petite
895,44,Modern black and white,very satisfied,General Petite
836,44,Subdued sexy,very satisfied,General
859,26,So sexy,satisfied,General
862,37,Just okay,neutral,General
1049,48,One of my favorite pieces for night,very satisfied,General
862,35,,very satisfied,General
1089,67,Elegant and eye-catching,very satisfied,General Petite
1089,24,Work-appropriate lace,satisfied,General Petite
1104,59,Poor quality,neutral,General
127,47,Soft and cozy,satisfied,General Petite
1104,42,Looks are deceiving,neutral,General
936,29,Terrific sweater with great detail; runs large,very satisfied,General
902,54,Pretty/different style,satisfied,General
995,41,Poorly executed,unsatisfied,General
936,62,Beautiful!,very satisfied,General
127,29,Great with leggings!,satisfied,General Petite
1104,38,Bad quality.,very unsatisfied,General
1086,25,Flattering and fun!,satisfied,General
936,33,Love love love!,very satisfied,General
746,34,Lovely fabric but tiny hips,neutral,Initmates
1081,53,"Lovely dress, small top, different color",satisfied,General Petite
127,46,Too big/so soft,neutral,General Petite
936,33,Not sure about this one,neutral,General
127,40,"Comfy, but not made to last",neutral,General Petite
1035,32,Loving these jeans!,very satisfied,General
902,38,Lovely but runs big,satisfied,General
995,62,Possibly the cutest skirt ever!,very satisfied,General
1104,35,,very satisfied,General
1089,34,Classic,very satisfied,General Petite
1086,26,,neutral,General
902,31,,unsatisfied,General
902,58,Sweet little top,very satisfied,General
1094,40,Comfortable and dressy,very satisfied,General
1086,22,Not the best quality,neutral,General
936,55,"Soft, feminine, versatile",very satisfied,General
1036,66,Stylish option good for petites,satisfied,General
936,39,Sweet casual,very satisfied,General
1094,30,A perfect investment,very satisfied,General
1094,53,This dress is gorgeous!,very satisfied,General
1086,23,"Great dress, rough zipper",very satisfied,General
127,37,,very satisfied,General Petite
127,51,Cute & comfy top,very satisfied,General Petite
1083,37,Flattering and great buy on sale!,satisfied,General
872,35,I love this shirt,very satisfied,General
1083,35,Flimsy,unsatisfied,General
831,40,Super comfy,very satisfied,General
1080,32,"Pretty pattern, weird fit",neutral,General
1077,68,Easy and stylish,very satisfied,General
872,65,,satisfied,General
964,37,Very versatile,very satisfied,General
1089,39,Small boobies only,neutral,General Petite
872,22,Love the lace up design!,satisfied,General
1083,50,,very satisfied,General
829,33,Disappointed,satisfied,General
964,33,Very chic,very satisfied,General
1089,38,,very satisfied,General Petite
829,32,,very satisfied,General
829,51,Beautiful and versatile top!,very satisfied,General
967,56,So pretty and soft,very satisfied,General
829,38,Great for work or fun,satisfied,General
829,35,Perfect shirt for work or night out.,satisfied,General
872,48,Flattering tee,satisfied,General
872,31,,satisfied,General
149,38,So soft and comfy and fit for yoga!,satisfied,Initmates
964,58,Funky and classy,very satisfied,General
1030,63,Really cute!,very satisfied,General
964,40,Love. this. jacket.,very satisfied,General
1083,41,Bunches up weirdly in the front,satisfied,General
872,60,Cute top,satisfied,General
872,60,Red tee,very satisfied,General
829,48,Undecided,satisfied,General
872,70,Great casual shirt,satisfied,General
964,27,So much better irl,very satisfied,General
1089,32,,neutral,General Petite
872,26,Ultimately unimpressed,neutral,General
872,51,Vibrant red color,very satisfied,General
872,48,Love,very satisfied,General
1077,30,Looks fine if you don't move your arms.,unsatisfied,General
967,56,Great plaid!,satisfied,General
872,27,In love with this shirt,very satisfied,General
964,44,Perfection.,very satisfied,General
872,39,Perfect!,very satisfied,General
234,33,,very satisfied,Initmates
149,33,The most comfortable pants ever,satisfied,Initmates
829,60,Perfect top for work,satisfied,General
829,44,"Overall, i like it, but some sizing issues...",satisfied,General
872,71,,very satisfied,General
872,44,,very satisfied,General
850,52,"Very pretty, boho chic",very satisfied,General Petite
850,23,Great too but not for women who have a large bust.,neutral,General Petite
724,69,Cute slip but very body hugging,satisfied,Initmates
833,48,Lovely romantic blouse,very satisfied,General
862,35,Extra fabric in back adds a lot,very satisfied,General
850,59,,very satisfied,General Petite
1078,61,Great sweater dress!,very satisfied,General
850,45,Pretty blouse,very satisfied,General Petite
1104,25,"Love, love this flattering dress",very satisfied,General
1078,33,"Cute, but cheap",neutral,General
984,40,Love it.,satisfied,General
850,68,Gorgeous top with a hint of pizazz,very satisfied,General Petite
204,30,Else lingerie jardin silk bralette review,very satisfied,Initmates
1078,20,Super cute and flattering too,very satisfied,General
862,42,Poor quality,unsatisfied,General
1078,52,Fun dress,very satisfied,General
984,42,Very cute jacket!,very satisfied,General
1008,24,Cute but too large,satisfied,General
841,43,"Great, but size down.",satisfied,General Petite
1104,51,Not for the busty,neutral,General
850,39,Pretty adn flattering,very satisfied,General Petite
1081,39,Love everything about htis dress,very satisfied,General
833,39,,satisfied,General
850,57,Manette clipdot blouse,satisfied,General Petite
862,35,Runs large,satisfied,General Petite
1078,46,Fun mix of colors in the grey version,very satisfied,General
850,51,So pretty and great style,very satisfied,General Petite
850,39,,very satisfied,General Petite
831,55,Retailer like it used to be!,very satisfied,General
833,42,Lovely,very satisfied,General
984,40,Cute jacket,satisfied,General
1078,31,For the shorter girls,satisfied,General
1104,39,,very satisfied,General
1081,59,Flattering and comfortable,very satisfied,General
833,53,Still love it even if...,satisfied,General
850,41,Pretty spring flowers,very satisfied,General Petite
1078,49,,very satisfied,General
850,33,Boxy,neutral,General Petite
1078,36,"Cute concept, fits weird",unsatisfied,General
850,29,Nice but short,neutral,General Petite
850,49,Pretty top for work days,satisfied,General Petite
1078,39,Love this dress,very satisfied,General
948,40,Itchytown,unsatisfied,General Petite
850,57,"Feminine, flattering, versatile",very satisfied,General Petite
833,56,,satisfied,General
1078,51,"So cute, but weird fit",neutral,General
850,58,Awesome top,very satisfied,General Petite
1078,67,"Comfy, cute, and colorful.",satisfied,General
1078,36,Best fitting dress,very satisfied,General
850,27,"Gorgeous, flattering blouse!",very satisfied,General Petite
948,60,Cropped and itchy,unsatisfied,General Petite
1078,49,Cute but skip the petite unless you are very short,very satisfied,General
850,49,Manette clipdot blouse,neutral,General Petite
1081,35,Elegant and well made,very satisfied,General Petite
833,60,Lovely,very satisfied,General
1081,53,Well made,very satisfied,General Petite
850,38,Beautiful blouse; very flattering,satisfied,General Petite
850,48,Weird color and fit,unsatisfied,General Petite
850,37,,very satisfied,General Petite
984,42,Looks better on,very satisfied,General
850,50,,satisfied,General Petite
1104,41,Fun tag sale find,very satisfied,General
1104,39,,very unsatisfied,General
1104,26,Great dress,very satisfied,General
1078,25,Cute and fun!,very satisfied,General
850,34,The right kind of casual,very satisfied,General Petite
850,25,,very satisfied,General Petite
984,31,Easy jacket,neutral,General
1078,47,Great dress or tunic,very satisfied,General
984,61,Top coat,very satisfied,General
850,52,"Love, love, love this tunic!",very satisfied,General
833,56,Sleeves are really small,neutral,General
1078,68,,neutral,General
850,39,Perfect top!,very satisfied,General
1081,40,Comfortable and chic,satisfied,General Petite
984,53,,very satisfied,General
850,45,Perfect balance of classy and sexy,very satisfied,General
850,28,Great top,satisfied,General
1104,33,"Cute fit, perfect length",very satisfied,General
1078,71,Flattering,very satisfied,General
984,46,,very satisfied,General
984,56,,very satisfied,General
1078,36,Cute dress,satisfied,General
1104,35,Great fit,very satisfied,General
984,58,Comfortable and great looking,very satisfied,General
1078,53,Love this dress!,very satisfied,General
984,64,Great jacket!,very satisfied,General
833,45,Beautiful blouse but....,neutral,General
850,44,Feminine and pretty,very satisfied,General
1078,52,Not a fan - childish,neutral,General
1078,49,,unsatisfied,General
984,52,,very satisfied,General
850,56,Runs large through the chest...,satisfied,General
1078,45,,very satisfied,General
984,35,Love! my new favorite jacket!,very satisfied,General
831,38,Lovely blouse!,satisfied,General
1086,32,Love the lace detail,satisfied,General
1044,39,,very satisfied,General Petite
820,32,Cute,satisfied,General
1094,35,Gorgeous dress,very satisfied,General
1094,34,A must buy!!,very satisfied,General
995,48,,very satisfied,General
1094,36,Prety dress that fits true to size,satisfied,General
1060,40,"Very nice, just as pictured",very satisfied,General
833,47,,very unsatisfied,General
1037,41,Glad i took a chance on these!,satisfied,General Petite
875,33,Adorable top!!,very satisfied,General
875,33,Cute top!,satisfied,General
820,39,Love,very satisfied,General
1037,54,Comfortable and unique,satisfied,General Petite
820,44,,satisfied,General
1037,39,,very satisfied,General
820,24,Fits so well!,very satisfied,General
833,65,,very unsatisfied,General
1094,64,Stunning special occasion dress,very satisfied,General
833,40,Love this shirt,very satisfied,General
995,39,"Comfortable, soft",satisfied,General
1094,42,Not for us chesty girls!,neutral,General
875,34,Fit is not cute,unsatisfied,General
1037,38,,neutral,General
875,29,Do not like the front,unsatisfied,General
833,49,Not doing anything for me,neutral,General
1060,39,Not for me,neutral,General
1094,48,Cute outfit,satisfied,General
835,66,So good,very satisfied,General
1094,25,Love this dress,satisfied,General
1094,36,Classy little dress,satisfied,General
875,46,Awkward style,unsatisfied,General
823,37,,very satisfied,General
835,42,Unique piece / boho chic,very satisfied,General
833,26,My favorite black top.,satisfied,General
833,33,Super flattering,very satisfied,General
820,52,Pretty tank,very satisfied,General
835,41,Different than the rest !!!,very satisfied,General
1060,25,Slimmingly perfect!,very satisfied,General
1037,47,Too bad!,neutral,General
820,24,"Very cute, snug fit",satisfied,General
1079,32,,neutral,General
1060,44,Surprisingly retro-adorable,satisfied,General
875,66,Love,very satisfied,General
835,64,Western look,very satisfied,General
1078,39,Gorgeous quality knit,very satisfied,General Petite
1037,42,"Wanted to love, but sadly will return.",very unsatisfied,General
820,35,Great top!!,very satisfied,General
1072,59,Lovely but smells like last purchaser's deodorant.,very satisfied,General
1094,64,Interesting but awkward to actually wear,neutral,General
833,40,"Beautiful, but a few caveats",satisfied,General
1037,22,Fun jeggings,satisfied,General
1094,53,Loved in theory,neutral,General
995,34,No shape,unsatisfied,General
252,35,,satisfied,Initmates
634,29,Great casual dress to throw on,satisfied,General Petite
985,24,Plaid bomb pairs fabulous with everything fall!,very satisfied,General
1059,37,Great staple!,very satisfied,General
985,65,Perfect fall jacket,very satisfied,General
1059,36,Must have,very satisfied,General
634,35,Lounging dress,satisfied,General Petite
1059,27,Perfect fit,very satisfied,General
252,36,,satisfied,Initmates
634,28,Functional casual dress,very satisfied,General Petite
252,46,Best bathing suit!,very satisfied,Initmates
117,70,,neutral,Initmates
117,57,,very satisfied,Initmates
634,69,Overpriced but so comfortable,satisfied,General Petite
252,28,My new favorite swim suit,very satisfied,Initmates
252,36,Perfect suit,very satisfied,Initmates
634,40,Luxurious sleepwear,satisfied,General Petite
1059,80,Please restock!!!,very satisfied,General
838,44,Cute and unique!,satisfied,General
252,36,Great suit for busy moms!,very satisfied,Initmates
838,41,Beautiful top,very satisfied,General
838,48,Boxy and short,very unsatisfied,General
634,49,,very satisfied,General Petite
1059,42,Wanted to love these...but...meh...,neutral,General
634,37,Comfy and cute,satisfied,General Petite
1008,38,"Vibrant, effortless, beautiful",very satisfied,General
838,58,,very satisfied,General
620,47,Very cute and comfortable,satisfied,General
634,36,Super comfy,very satisfied,General Petite
1059,66,Great basic pants!,very satisfied,General
1059,51,Great pant,satisfied,General
1059,38,Great staple,very satisfied,General
634,40,Beach cover-up,satisfied,General Petite
1059,35,,unsatisfied,General
634,36,,satisfied,General Petite
1059,37,What a waste,very unsatisfied,General
985,30,,satisfied,General
252,35,Wonderful swimsuit,very satisfied,Initmates
1059,48,Gerat pants,very satisfied,General
1059,49,Great pants that don't get baggy,very satisfied,General
252,70,The perfect swimsuit - functional and stunning!,very satisfied,Initmates
1059,40,,very satisfied,General
1059,38,Not what i had hoped for...,unsatisfied,General
252,27,Perfection,very satisfied,Initmates
1008,46,Love it!,very satisfied,General
943,50,Thick and beautiful sweater!,very satisfied,General
634,65,"Loungewear, not outdoor wear",unsatisfied,General Petite
1008,22,,very satisfied,General
252,93,Amazing suit!,very satisfied,Initmates
838,43,Uniform top,very satisfied,General
1059,67,Perfect 24/7,very satisfied,General
1059,45,Super comfy and great fit!,very satisfied,General
620,42,Great shorts,very satisfied,General
1059,58,Cute slim pants,very satisfied,General
117,52,Fabulous,very satisfied,Initmates
252,25,Cute and comfortable swimsuit!,very satisfied,Initmates
252,35,Lacks support,satisfied,Initmates
634,37,Easy breezy,satisfied,General Petite
838,29,Weird fit,unsatisfied,General
1008,29,Cute but didn't work for me :(,neutral,General
1059,47,Cute pants,satisfied,General
838,25,,very satisfied,General
634,39,Great price for,very satisfied,General Petite
1059,30,Great fit,very satisfied,General
1059,34,Stretches out,unsatisfied,General
1059,60,"Great material, awkward length",neutral,General
1059,45,"Love these pants, highly recommend!",very satisfied,General
1008,55,Great skirt!,very satisfied,General
117,34,Mixed feelings,satisfied,Initmates
886,36,,satisfied,General
1087,62,Simple but different.,satisfied,General
873,57,,very satisfied,General
1087,23,Too short,very satisfied,General
886,37,,satisfied,General
745,68,,very satisfied,Initmates
886,58,,very satisfied,General
937,36,Itchy,neutral,General
