id,auto_make,auto_body-style,auto_length,auto_width,auto_city-mpg,auto_price,auto_num_cyl,auto_two_door,auto_engine_size
119,plymouth,hatchback,157.3,63.8,24,"7,957",4,1,medium
120,plymouth,hatchback,157.3,63.8,31,"6,229",4,0,medium
121,plymouth,sedan,167.3,63.8,31,"6,692",4,0,medium
122,plymouth,sedan,167.3,63.8,31,"7,609",4,0,medium
123,plymouth,wagon,174.6,64.6,24,"8,921",4,0,medium
124,plymouth,hatchback,173.2,66.3,19,"12,764",4,1,medium
125,porsche,hatchback,168.9,68.3,19,"22,018",4,1,medium
126,porsche,hardtop,168.9,65,17,"32,528",6,1,medium
127,porsche,hardtop,168.9,65,17,"34,028",6,1,medium
128,porsche,convertible,168.9,65,17,"37,028",6,1,medium
130,renault,wagon,181.5,66.5,23,"9,295",4,0,medium
131,renault,hatchback,176.8,66.6,23,"9,895",4,1,medium
132,saab,hatchback,186.6,66.5,21,"11,850",4,1,medium
133,saab,sedan,186.6,66.5,21,"12,170",4,0,medium
134,saab,hatchback,186.6,66.5,21,"15,040",4,1,medium
135,saab,sedan,186.6,66.5,21,"15,510",4,0,medium
136,saab,hatchback,186.6,66.5,19,"18,150",4,1,medium
137,saab,sedan,186.6,66.5,19,"18,620",4,0,medium
138,subaru,hatchback,156.9,63.4,31,"5,118",4,1,medium
139,subaru,hatchback,157.9,63.6,26,"7,053",4,1,medium
140,subaru,hatchback,157.3,63.8,26,"7,603",4,1,medium
141,subaru,sedan,172,65.4,32,"7,126",4,0,medium
142,subaru,sedan,172,65.4,28,"7,775",4,0,medium
143,subaru,sedan,172,65.4,26,"9,960",4,0,medium
144,subaru,sedan,172,65.4,24,"9,233",4,0,medium
145,subaru,sedan,172,65.4,24,"11,259",4,0,medium
146,subaru,wagon,173.5,65.4,28,"7,463",4,0,medium
147,subaru,wagon,173.5,65.4,25,"10,198",4,0,medium
148,subaru,wagon,173.6,65.4,23,"8,013",4,0,medium
149,subaru,wagon,173.6,65.4,23,"11,694",4,0,medium
150,toyota,hatchback,158.7,63.6,35,"5,348",4,1,medium
151,toyota,hatchback,158.7,63.6,31,"6,338",4,1,medium
152,toyota,hatchback,158.7,63.6,31,"6,488",4,0,medium
153,toyota,wagon,169.7,63.6,31,"6,918",4,0,medium
154,toyota,wagon,169.7,63.6,27,"7,898",4,0,medium
155,toyota,wagon,169.7,63.6,27,"8,778",4,0,medium
156,toyota,sedan,166.3,64.4,30,"6,938",4,0,medium
157,toyota,hatchback,166.3,64.4,30,"7,198",4,0,medium
158,toyota,sedan,166.3,64.4,34,"7,898",4,0,medium
159,toyota,hatchback,166.3,64.4,38,"7,788",4,0,medium
160,toyota,sedan,166.3,64.4,38,"7,738",4,0,medium
161,toyota,hatchback,166.3,64.4,28,"8,358",4,0,medium
162,toyota,sedan,166.3,64.4,28,"9,258",4,0,medium
163,toyota,sedan,168.7,64,29,"8,058",4,1,medium
164,toyota,hatchback,168.7,64,29,"8,238",4,1,medium
165,toyota,sedan,168.7,64,26,"9,298",4,1,medium
166,toyota,hatchback,168.7,64,26,"9,538",4,1,medium
167,toyota,hardtop,176.2,65.6,24,"8,449",4,1,medium
168,toyota,hardtop,176.2,65.6,24,"9,639",4,1,medium
169,toyota,hatchback,176.2,65.6,24,"9,989",4,1,medium
170,toyota,hardtop,176.2,65.6,24,"11,199",4,1,medium
171,toyota,hatchback,176.2,65.6,24,"11,549",4,1,medium
172,toyota,convertible,176.2,65.6,24,"17,669",4,1,medium
173,toyota,sedan,175.6,66.5,29,"8,948",4,0,medium
174,toyota,sedan,175.6,66.5,30,"10,698",4,0,medium
175,toyota,hatchback,175.6,66.5,27,"9,988",4,0,medium
176,toyota,sedan,175.6,66.5,27,"10,898",4,0,medium
177,toyota,hatchback,175.6,66.5,27,"11,248",4,0,medium
178,toyota,hatchback,183.5,67.7,20,"16,558",6,1,medium
179,toyota,hatchback,183.5,67.7,19,"15,998",6,1,medium
180,toyota,sedan,187.8,66.5,20,"15,690",6,0,medium
181,toyota,wagon,187.8,66.5,19,"15,750",6,0,medium
182,volkswagen,sedan,171.7,65.5,37,"7,775",4,1,medium
183,volkswagen,sedan,171.7,65.5,27,"7,975",4,1,medium
184,volkswagen,sedan,171.7,65.5,37,"7,995",4,0,medium
185,volkswagen,sedan,171.7,65.5,27,"8,195",4,0,medium
186,volkswagen,sedan,171.7,65.5,27,"8,495",4,0,medium
187,volkswagen,sedan,171.7,65.5,37,"9,495",4,0,medium
188,volkswagen,sedan,171.7,65.5,26,"9,995",4,0,medium
189,volkswagen,convertible,159.3,64.2,24,"11,595",4,1,medium
190,volkswagen,hatchback,165.7,64,24,"9,980",4,1,medium
191,volkswagen,sedan,180.2,66.9,19,"13,295",5,0,medium
192,volkswagen,sedan,180.2,66.9,33,"13,845",4,0,medium
193,volkswagen,wagon,183.1,66.9,25,"12,290",4,0,medium
194,volvo,sedan,188.8,67.2,23,"12,940",4,0,medium
195,volvo,wagon,188.8,67.2,23,"13,415",4,0,medium
196,volvo,sedan,188.8,67.2,24,"15,985",4,0,medium
197,volvo,wagon,188.8,67.2,24,"16,515",4,0,medium
198,volvo,sedan,188.8,67.2,17,"18,420",4,0,medium
199,volvo,wagon,188.8,67.2,17,"18,950",4,0,medium
200,volvo,sedan,188.8,68.9,23,"16,845",4,0,medium
201,volvo,sedan,188.8,68.8,19,"19,045",4,0,medium
202,volvo,sedan,188.8,68.9,18,"21,485",6,0,medium
203,volvo,sedan,188.8,68.9,26,"22,470",6,0,medium
204,volvo,sedan,188.8,68.9,19,"22,625",4,0,medium
